constraint_id,maximum,"constraint_type",minimum,generic_land_use_type_id,plan_type_id
224,29.04,"units_per_acre",0,1,383
225,4.4,"units_per_acre",0,1,384
226,3.7,"units_per_acre",0,1,385
227,2.2,"units_per_acre",0,1,386
228,7.3,"units_per_acre",0,1,387
229,5.5,"units_per_acre",0,1,388
230,3.7,"units_per_acre",0,1,389
231,3.7,"units_per_acre",0,1,390
232,34.7387,"units_per_acre",0,1,391
233,15,"units_per_acre",0,1,394
234,15,"units_per_acre",0,1,395
235,5.95806,"units_per_acre",0,1,397
236,4.35,"units_per_acre",0,1,398
237,4.35,"units_per_acre",0,1,399
238,15,"units_per_acre",0,1,401
239,2.9,"units_per_acre",0,1,402
240,5.18,"units_per_acre",0,1,403
241,14.05,"units_per_acre",0,1,404
242,15.02,"units_per_acre",0,1,405
243,7.02,"units_per_acre",0,1,406
244,0.2,"units_per_acre",0,1,407
245,20,"units_per_acre",0,1,408
246,29,"units_per_acre",0,1,410
247,7.26,"units_per_acre",0,1,422
248,11.88,"units_per_acre",0,1,423
249,11.61,"units_per_acre",0,1,424
250,14.52,"units_per_acre",0,1,425
251,29,"units_per_acre",0,1,426
252,20,"units_per_acre",0,1,427
253,4.84,"units_per_acre",0,1,430
254,24,"units_per_acre",0,1,448
255,18,"units_per_acre",0,1,449
256,12,"units_per_acre",0,1,450
257,2.9,"units_per_acre",0,1,451
258,1.24,"units_per_acre",0,1,452
259,8.71,"units_per_acre",0,1,453
260,6.05,"units_per_acre",0,1,454
261,4.53,"units_per_acre",0,1,455
262,0.2,"units_per_acre",0,1,456
263,6.65,"units_per_acre",0,1,458
264,25,"units_per_acre",0,1,460
265,15,"units_per_acre",0,1,462
266,8.75,"units_per_acre",0,1,463
267,15,"units_per_acre",0,1,464
268,4.97,"units_per_acre",0,1,466
269,5,"units_per_acre",0,1,467
270,9,"units_per_acre",0,1,468
271,30,"units_per_acre",0,1,469
272,6,"units_per_acre",0,1,471
273,6,"units_per_acre",0,1,472
274,10,"units_per_acre",0,1,474
275,20,"units_per_acre",0,1,475
276,30,"units_per_acre",0,1,476
277,4,"units_per_acre",0,1,477
278,8,"units_per_acre",0,1,478
279,6,"units_per_acre",0,1,479
280,8,"units_per_acre",0,1,480
281,4,"units_per_acre",0,1,481
282,6,"units_per_acre",0,1,482
283,6,"units_per_acre",0,1,483
284,8,"units_per_acre",0,1,484
285,12,"units_per_acre",0,1,487
287,6,"units_per_acre",0,1,490
288,4,"units_per_acre",0,1,491
289,6,"units_per_acre",0,1,492
290,8,"units_per_acre",0,1,493
291,3,"units_per_acre",0,1,494
292,8,"units_per_acre",0,1,495
293,3,"units_per_acre",0,1,496
294,3,"units_per_acre",0,1,497
295,3,"units_per_acre",0,1,498
296,10,"units_per_acre",5,1,499
297,6.05,"units_per_acre",0,1,500
298,6.05,"units_per_acre",0,1,501
299,3.48,"units_per_acre",0,1,502
300,6.05,"units_per_acre",0,1,503
301,4.53,"units_per_acre",0,1,504
302,21,"units_per_acre",0,1,505
303,15,"units_per_acre",10,1,506
304,24,"units_per_acre",0,1,507
305,28,"units_per_acre",12,1,511
306,0.43,"units_per_acre",0,1,515
307,6,"units_per_acre",4,1,516
308,4.5,"units_per_acre",3,1,517
309,2.17,"units_per_acre",0,1,518
310,3.63,"units_per_acre",0,1,519
311,2.17,"units_per_acre",0,1,520
312,6.22,"units_per_acre",0,1,523
313,0.2,"units_per_acre",0,1,532
314,21.78,"units_per_acre",0,1,534
315,29,"units_per_acre",0,1,536
316,14.52,"units_per_acre",0,1,537
317,14.52,"units_per_acre",0,1,540
318,14.52,"units_per_acre",0,1,542
319,1.24,"units_per_acre",0,1,543
320,4.5,"units_per_acre",0,1,544
321,7.26,"units_per_acre",0,1,545
322,21.086,"units_per_acre",0,1,550
323,21.1,"units_per_acre",0,1,551
324,13.9022,"units_per_acre",0,1,553
325,34.3232,"units_per_acre",0,1,556
328,34.3232,"units_per_acre",0,1,559
330,15.264,"units_per_acre",0,1,561
332,24,"units_per_acre",0,1,570
333,1,"units_per_acre",0,1,573
334,18,"units_per_acre",0,1,574
335,27,"units_per_acre",0,1,575
336,6,"units_per_acre",0,1,577
337,9,"units_per_acre",0,1,578
338,0.1,"units_per_acre",0,1,583
339,9.56425,"units_per_acre",0,1,587
340,9.56425,"units_per_acre",0,1,588
341,2.23613,"units_per_acre",0,1,592
342,1,"units_per_acre",0,1,599
343,10.89,"units_per_acre",0,1,600
344,16,"units_per_acre",0,1,601
345,23,"units_per_acre",0,1,603
346,12,"units_per_acre",0,1,604
347,16,"units_per_acre",0,1,605
348,5.95806,"units_per_acre",0,1,608
349,1,"units_per_acre",0,1,609
350,3.63,"units_per_acre",0,1,610
351,4.53,"units_per_acre",0,1,611
352,6.05,"units_per_acre",0,1,612
353,8.71,"units_per_acre",0,1,613
354,0.1,"units_per_acre",0,1,614
355,0.02,"units_per_acre",0,1,615
356,0.01,"units_per_acre",0,1,617
357,16,"units_per_acre",0,1,620
358,1,"units_per_acre",0,1,622
359,18,"units_per_acre",14.4,1,623
360,27,"units_per_acre",20.25,1,624
361,6,"units_per_acre",5.1,1,626
